layout,protocol,task,train_seed,eval_seed,successes,episodes,sr_percent
four_slot,p77,cube,42,1,100,100,100.0
four_slot,p77,cube,42,42,100,100,100.0
five_slot,p77,tworoom,42,0,99,100,99.0
five_slot,p77,tworoom,42,1,98,100,98.0
five_slot,p77,tworoom,42,42,100,100,100.0
four_slot,p77,cube,3072,0,100,100,100.0
four_slot,p77,cube,3072,1,100,100,100.0
four_slot,p77,cube,3072,42,100,100,100.0
five_slot,p77,tworoom,3072,0,98,100,98.0
five_slot,p77,tworoom,3072,1,98,100,98.0
five_slot,p77,tworoom,3072,42,100,100,100.0
four_slot,p77,reacher,0,0,95,100,95.0
four_slot,p77,reacher,0,1,96,100,96.0
four_slot,p77,reacher,0,42,96,100,96.0
five_slot,p75,tworoom,0,0,97,100,97.0
five_slot,p75,tworoom,0,1,99,100,99.0
five_slot,p75,tworoom,0,42,100,100,100.0
four_slot,p75,tworoom,0,0,96,100,96.0
four_slot,p75,tworoom,0,1,96,100,96.0
four_slot,p75,tworoom,0,42,96,100,96.0
five_slot,p75,tworoom,42,0,97,100,97.0
five_slot,p75,tworoom,42,1,98,100,98.0
five_slot,p75,tworoom,42,42,100,100,100.0
four_slot,p75,tworoom,42,0,98,100,98.0
four_slot,p75,tworoom,42,1,95,100,95.0
four_slot,p75,tworoom,42,42,96,100,96.0
five_slot,p75,tworoom,3072,0,100,100,100.0
five_slot,p75,tworoom,3072,1,98,100,98.0
five_slot,p75,tworoom,3072,42,100,100,100.0
four_slot,p75,tworoom,3072,0,98,100,98.0
four_slot,p75,tworoom,3072,1,98,100,98.0
four_slot,p75,tworoom,3072,42,99,100,99.0
five_slot,p77,tworoom,0,0,100,100,100.0
five_slot,p77,tworoom,0,1,99,100,99.0
five_slot,p77,tworoom,0,42,100,100,100.0
four_slot,p77,tworoom,0,0,97,100,97.0
four_slot,p77,tworoom,0,1,93,100,93.0
four_slot,p77,tworoom,0,42,93,100,93.0
five_slot,p66,pusht,0,0,85,100,85.0
five_slot,p66,pusht,0,1,87,100,87.0
five_slot,p66,pusht,0,42,82,100,82.0
four_slot,p77,reacher,42,0,96,100,96.0
four_slot,p77,reacher,42,1,98,100,98.0
four_slot,p77,reacher,42,42,96,100,96.0
five_slot,p66,pusht,42,0,80,100,80.0
five_slot,p66,pusht,42,1,87,100,87.0
five_slot,p66,pusht,42,42,86,100,86.0
four_slot,p77,reacher,3072,0,95,100,95.0
four_slot,p77,reacher,3072,1,96,100,96.0
four_slot,p77,reacher,3072,42,95,100,95.0
five_slot,p66,pusht,3072,0,82,100,82.0
five_slot,p66,pusht,3072,1,84,100,84.0
five_slot,p66,pusht,3072,42,86,100,86.0
four_slot,p77,tworoom,42,0,99,100,99.0
four_slot,p77,tworoom,42,1,99,100,99.0
four_slot,p77,tworoom,42,42,100,100,100.0
five_slot,p66,cube,0,0,100,100,100.0
five_slot,p66,cube,0,1,100,100,100.0
five_slot,p66,cube,0,42,100,100,100.0
four_slot,p77,tworoom,3072,0,98,100,98.0
four_slot,p77,tworoom,3072,1,98,100,98.0
four_slot,p77,tworoom,3072,42,99,100,99.0
five_slot,p66,cube,42,0,100,100,100.0
five_slot,p66,cube,42,1,100,100,100.0
five_slot,p66,cube,42,42,100,100,100.0
four_slot,p66,pusht,0,0,80,100,80.0
four_slot,p66,pusht,0,1,81,100,81.0
four_slot,p66,pusht,0,42,84,100,84.0
five_slot,p66,cube,3072,0,100,100,100.0
five_slot,p66,cube,3072,1,100,100,100.0
five_slot,p66,cube,3072,42,100,100,100.0
four_slot,p66,pusht,42,0,83,100,83.0
four_slot,p66,pusht,42,1,84,100,84.0
four_slot,p66,pusht,42,42,81,100,81.0
five_slot,p66,reacher,0,0,96,100,96.0
five_slot,p66,reacher,0,1,99,100,99.0
five_slot,p66,reacher,0,42,95,100,95.0
four_slot,p66,pusht,3072,0,82,100,82.0
four_slot,p66,pusht,3072,1,85,100,85.0
four_slot,p66,pusht,3072,42,78,100,78.0
five_slot,p66,reacher,42,0,96,100,96.0
five_slot,p66,reacher,42,1,98,100,98.0
five_slot,p66,reacher,42,42,98,100,98.0
four_slot,p66,cube,0,0,100,100,100.0
four_slot,p66,cube,0,1,100,100,100.0
four_slot,p66,cube,0,42,100,100,100.0
